acoustic_data,time_to_failure
0,12.608895798
4,6.3624986898
7,10.88420001
11,11.157696403
9,8.262996357
4,6.7266968911
4,5.6610996388
3,3.3266962098
7,4.0268990678
4,7.7077996102
8,7.5128963119
2,2.4678976884
2,6.5546985483
7,2.7915973823
9,2.1981959665
4,5.5971973551
7,14.329398556
2,5.3317985704
7,0.057196339764
4,4.2006985264
2,3.0919979947
1,8.2049979249
3,7.7181996161
9,4.1202955079
5,1.5389980767
8,8.2818972312
-2,4.9290965574
9,6.0282974145
0,15.704196765
-1,7.2398981757
10,1.1384997472
8,3.6596968731
5,4.3965971243
5,2.9871962023
2,1.4450964115
-36,0.96829806637
0,2.4648988905
1,3.4522983807
4,4.5970983265
6,4.6215982118
8,13.908196021
9,8.240699316
1,3.2171963032
4,3.3394962956
9,0.91249861691
2,9.1912965466
2,15.10089662
3,10.148598036
9,0.52729966741
2,13.876299698
9,7.2815955145
0,0.68149569933
2,4.2873993715
5,8.7923982748
7,13.63589772
4,0.77089554005
5,0.19539907852
4,0.51259884252
7,1.9615968253
5,4.304997611
9,4.6359992165
3,5.363596304
6,5.3286962321
9,3.2244967004
-1,5.1423990174
2,4.074196087
4,0.65839588242
2,1.6220982187
4,13.057899039
-9,1.1832964841
4,0.74459637431
7,1.4179990403
6,6.7976996006
5,8.0374983482
5,4.9741958609
5,3.5799957466
0,2.1881977564
7,6.7180960631
5,10.005297086
11,5.2098993626
4,6.486297485
5,11.362596561
2,6.784497376
4,12.931398392
2,0.27079761139
4,2.9289992717
-1,5.8152986884
3,10.826696575
18,5.4498994328
1,4.3266964113
3,2.6631959014
3,0.70499925354
6,9.028595571
3,1.2434991107
6,15.863798345
5,2.7557986019
8,3.4650986575
9,11.811097923
2,13.338997977
9,0.077797697364
4,0.99599775676
8,8.8173976376
4,9.8303992275
4,4.1230999392
2,12.19519573
4,2.218898509
3,10.639499144
9,12.391899599
-2,0.9767993103
0,0.38359774555
6,0.96899549166
8,10.027197984
5,5.7897982407
0,0.28539772592
1,4.0964985169
17,1.7130963229
18,4.646198949
5,3.2738994071
3,2.2674990669
6,1.4103964652
-2,5.9514969712
5,8.2661956959
5,5.0296957085
-2,0.89289893042
0,8.7487964089
0,2.7760983244
0,0.62759869861
0,0.049996626468
-1,1.9199960307
7,8.2492991956
7,13.411299466
1,5.161996639
3,4.1682976552
4,8.2272978831
6,5.1220992115
10,7.2963959021
19,1.8970986514
2,3.8479979778
-4,6.2394960979
5,1.1209961517
7,11.02689737
2,13.871999392
-1,2.546395703
15,0.73569566193
2,1.655599547
9,1.3932971967
7,5.812297629
4,0.30069928861
2,5.1614976343
6,5.3993994525
14,9.5729967216
0,8.7178981931
6,6.0637975705
2,9.9128967366
21,1.6349997469
7,2.7450975252
9,3.743896474
12,3.7935961118
3,11.664095577
-2,5.7281974501
2,3.0374982322
5,8.5125989054
2,8.9488996512
0,13.095295582
5,14.979598542
5,0.66729704183
6,6.7990968515
7,1.1358964817
8,9.6669956149
3,1.169095722
8,8.9099977623
3,6.5918983275
10,6.0159977304
9,9.360598098
-39,4.1883962196
2,4.0623964184
6,2.889897972
3,7.9252971733
7,3.3638966819
3,0.55589669703
7,12.504796251
1,7.7145999248
11,3.2734994338
6,9.7350989996
6,5.612097156
6,3.5809995115
4,3.6045982036
3,0.20709891804
7,11.132097376
6,9.725696551
1,7.9544959968
-3,0.85089639256
4,8.1336979832
-2,6.0184977852
-1,6.6271993506
6,9.380299486
3,7.2766965585
7,10.111199627
4,6.6754958609
19,0.32429879632
10,9.7068995322
5,3.9610992475
5,9.1393957073
2,0.054398306826
5,14.388998674
6,5.6874995328
5,4.4560989954
5,1.8361991536
4,10.29319915
13,4.2216978373
5,8.1476970486
11,7.368799473
5,11.108898796
6,9.4403994658
5,2.4916987382
5,10.921699885
3,6.6281960858
5,7.9296962078
-5,1.230897801
8,3.1154960063
61,13.800599949
7,15.160496211
6,9.4839980327
9,3.9731991064
10,11.006598493
6,13.180299513
12,6.8032977993
6,3.6564968863
8,1.0981961178
7,3.3243977126
5,1.6700997568
9,0.61079590799
4,8.8557974399
9,3.9560990118
2,9.4169989535
7,9.061197243
3,2.9392987719
4,2.7328960814
-2,6.6931959722
2,5.8631991889
4,11.066298085
1,5.676899964
4,6.6442987936
5,8.2325995793
9,8.6764961657
3,0.36559859711
9,4.791995832
8,7.8778965292
1,2.7468987166
3,8.5545961794
10,11.782198772
-2,8.4896974257
11,2.6025989855
9,5.915999949
6,12.660195654
6,7.3102965607
2,3.868198234
12,6.4086993286
9,3.683099311
5,8.1257998369
8,2.7892961264
5,0.91939652546
-5,6.4642982318
-2,4.3312997029
5,7.7326963781
-18,7.5391971835
6,0.27959670742
-19,2.7340972503
9,1.3123982593
4,6.7263961026
3,15.644596602
27,0.30659578563
4,7.0618971188
4,15.486099926
15,0.83639604076
7,6.6714978788
2,1.1807968216
1,10.88419625
5,7.513397662
5,10.031898293
8,3.9023971872
3,3.6751986005
0,8.1906988991
-3,4.5258995328
3,1.4113967721
4,2.6498957062
10,5.429699838
2,6.4020994414
2,10.602499012
4,6.0653986444
1,11.298797852
1,6.1908984133
-3,8.1870958221
3,12.115297319
0,2.4094966456
3,3.0835960426
8,6.3898974696
7,5.3099964143
-10,1.5266991034
12,13.578195935
3,1.0656980008
9,1.365096984
2,2.8229960121
13,0.14759824606
3,3.256299543
5,5.4125974612
17,3.064396696
13,11.965299224
-1,14.557198164
8,6.4011963443
9,7.2048980369
8,4.8455986895
30,0.34309601859
-7,0.62409760805
-1,10.032599873
3,9.3371988735
5,6.6819997137
8,5.0764966073
5,3.8353962397
6,4.5649964047
4,1.7566995008
2,1.519998948
1,2.6100991798
13,8.5922976312
8,7.2623963638
6,2.273797283
3,4.3698961563
0,6.34839885
-1,10.505398441
6,3.7404968304
7,10.193299233
7,0.37029704117
4,5.5548965228
4,11.148699651
10,3.9325992
2,4.1337992066
3,11.489598431
1,8.3114955685
-4,14.30079916
-3,6.665995735
2,1.213499994
1,0.69589663216
8,4.035498703
2,1.8039985343
15,8.5359989098
4,9.0935981523
3,1.4613978259
2,10.87359604
4,6.7601960173
2,4.2241972948
4,10.085397416
9,5.9769976411
2,5.2126960232
1,6.2504988853
0,4.2751992946
4,1.8402984317
2,6.9581983041
6,1.7464974296
7,11.400198297
1,3.3856992511
4,1.5141975973
-9,5.4675973034
6,13.078295882
5,0.91829908886
2,1.2193969081
9,0.65379966509
5,3.5394970865
6,6.8164999038
3,0.43269765577
8,5.0790959519
1,3.1766979829
1,9.2312981176
1,13.788996803
9,7.8065988496
5,7.7970985488
5,1.8190994657
6,5.2987995857
6,4.801896003
5,7.5023967107
4,0.87329813386
24,0.53159787291
7,8.091198003
3,0.87189928999
5,0.75839601571
4,12.017399109
3,6.2051976218
5,2.4543967765
5,10.426799184
3,0.5426971895
4,9.3179979008
3,2.9767962474
12,2.0227969538
5,11.002496813
5,3.2671992622
6,7.7480975122
14,4.8480992713
5,2.5841988093
1,12.12689944
10,3.3694963655
1,0.19009587817
11,0.61889794882
-1,9.2775993008
4,1.1316999636
6,12.067296141
4,4.9502978667
2,3.3250968335
7,8.3954993318
7,5.0993975495
6,2.0322992392
14,1.5232994437
6,6.3951981142
6,7.6566956283
5,3.9958967862
5,7.9490979892
2,7.095399083
5,11.40139743
6,10.79389901
3,2.5452962277
4,3.1924958214
3,7.5894978847
3,7.0071993912
9,5.3961961261
-124,1.493398685
3,2.8908987735
1,7.6298980037
6,7.8092995409
5,0.46449935281
3,9.9378970615
5,0.88679962303
9,9.2617980382
0,8.1470980549
6,1.1703981984
3,4.5111976965
6,5.3140980676
4,7.5368961581
-1,2.2067967536
6,1.3332965578
0,4.6641984042
2,0.32999649286
-53,0.90919716589
-3,3.1053993216
8,2.2323998314
10,0.95069714939
7,1.2597987143
3,2.5713973617
6,5.0395987606
-1,9.7542974285
8,9.0063991569
3,8.6147979165
-7,7.9189958217
7,2.401198465
10,7.3072969056
7,9.2594969602
2,2.3976989597
2,3.7873970307
7,2.3467957302
4,8.6407983178
8,9.3691973346
3,15.310496145
9,6.5578988827
6,0.42089786671
5,12.053496754
4,2.4472981385
3,4.4751958477
7,13.233596431
-2,8.9073992915
10,0.94769818116
2,5.3385962892
8,5.2492965673
5,6.8628995956
4,10.151296428
10,3.0137955809
3,0.72249742397
7,0.44429801615
0,0.60229563996
2,2.0796986826
4,1.5613999115
6,12.59309915
3,10.696896724
5,5.8847977702
-1,6.4719986432
11,8.7456972855
11,8.1833966897
3,15.993596254
8,0.73049730791
5,8.5125976233
0,0.89859682281
5,3.6982976437
3,6.249899591
4,3.9506962432
2,5.7764986648
8,8.7886973729
3,7.6275962236
1,4.9320996376
6,5.432898419
5,11.231199742
4,5.2753995285
4,0.40909820733
-2,1.2784999042
5,9.4734973133
-4,9.3499982575
6,6.2574989525
10,4.2023971553
4,7.4724958651
10,3.1297961617
-3,1.4466956278
8,9.1234990579
3,4.7923977908
2,3.4681973648
2,5.5215996508
12,12.159898864
0,7.0043989096
9,9.2393964924
4,2.1349970285
1,1.323598724
11,2.4419982067
-4,2.5361976954
2,7.1065974279
6,1.672698672
-4,7.5905957236
5,8.5911979557
1,3.1723995662
6,8.494499147
5,11.700296776
9,2.8541960769
10,1.684397814
10,12.649297684
7,7.4864998522
9,7.4916963253
2,5.7345985285
2,0.39879627421
11,5.6148958317
8,0.61679772686
7,4.768497841
5,0.12719988081
-2,14.753999207
11,4.4011992856
5,8.3540966757
5,12.133296075
9,7.7487975311
1,12.628199531
13,4.2709959242
2,4.9428996352
7,8.0814983363
5,1.3315963035
6,5.9481957356
5,7.6405981126
2,0.22939958585
8,4.9518976559
4,1.6195981176
8,4.9673990137
0,0.92049722216
3,12.780295686
14,10.814098404
4,5.5802961851
3,2.1009966894
7,0.75769602103
7,6.327095616
4,14.808298994
5,4.678198571
2,9.2242965554
2,8.0597986835
-1,0.90559787233
5,3.8723984551
-2,2.8059997851
3,6.9499980763
4,1.4535972904
-22,5.6470990741
3,0.363899923
6,1.6044985953
3,7.8602993054
5,2.2418984945
3,11.619499734
39,2.8118993142
9,7.6367964245
1,10.264998955
4,1.741295959
4,1.867298282
6,7.3671996796
4,1.2198998621
3,9.4211976741
3,1.1655994979
3,5.8304957902
2,11.257298693
3,5.0342964421
5,6.5298974531
17,9.1190994998
4,5.1243976478
1,6.1781982865
11,5.3141970922
0,5.0387992064
3,1.1115985202
7,11.191898023
3,3.4470961803
4,4.9720994504
3,0.5234982983
1,0.64449796556
4,6.5132964048
1,3.5224980038
4,2.0971964276
5,2.3104972209
3,6.1941962449
4,2.9223958727
4,13.284695658
9,9.1414976441
7,11.392996079
4,4.5742993749
1,11.973698992
-6,8.0911995068
5,1.0556991867
4,8.697798054
9,1.1752992501
10,5.9332999145
2,3.8964999062
4,6.3245959373
8,9.5529977709
10,13.277298326
5,6.3797997269
-1,0.15179642861
12,0.50829846606
3,6.6273976602
7,2.50089706
0,3.3584958467
9,8.6983985971
3,5.5317990097
9,2.4338983638
9,7.9001964012
1,8.7645961286
9,12.06109795
3,3.7680991335
2,1.479499645
5,3.6803968441
5,10.262799918
1,1.8784997949
0,5.3083982276
6,1.8632973596
7,8.6358955852
9,8.042199081
6,2.6903984243
6,5.0305957982
2,1.064195505
4,4.0974968705
6,2.9626955816
4,5.3923957969
4,14.130396351
6,4.6536995038
3,7.0107999997
4,2.1706978305
5,12.963398649
10,3.4906992075
8,11.916398123
30,0.57959676352
9,11.598198672
-3,6.3856984142
6,3.7973995173
3,3.5128961834
6,5.7652960439
-2,7.976297793
5,4.4917973434
8,2.6097987569
15,1.3606962225
5,6.8686976345
2,4.292796473
4,3.2867992909
0,12.702697483
-2,0.42150000406
2,4.4812997553
3,5.2599962141
5,4.5008989041
5,2.9745989366
6,6.5918968986
-2,7.8698956521
4,9.2739982506
6,3.2219961683
3,5.2162968646
4,8.8828978664
2,15.711599195
4,7.6139978312
-1,8.0310978552
7,9.8159956234
5,12.597197935
13,4.0745994682
8,1.8582976367
6,9.2377997378
6,10.045896654
4,7.8884964668
8,2.2468983121
5,8.2072977603
6,5.7733963454
1,3.0589997723
6,2.8306985098
2,2.5181956017
8,5.5821993032
11,9.1986966401
-9,0.9267993807
6,2.3658978094
-2,11.341297539
6,6.9806962489
5,6.6952984614
8,9.2529994759
5,3.1818987422
14,1.4194982166
9,9.971398329
4,7.2444966434
2,8.0030968667
-3,2.2514968478
3,6.4983976137
0,0.14519590943
5,1.298797764
-3,4.9257962486
5,0.42779670916
7,3.6159969778
13,9.7830961242
1,3.9431984349
6,9.4328995387
8,0.074097095875
0,5.0332992788
3,13.012197903
1,10.522698366
4,4.0134967668
6,0.11449970811
6,15.705197005
6,12.976099861
2,6.164898192
7,4.7710956877
4,15.821197717
7,2.6725984995
3,14.09019771
11,13.592197705
10,6.2857974827
8,1.5066957119
2,0.17049628822
6,1.9545987339
5,0.17639701652
-27,8.5359988647
1,2.7617969833
5,6.6953980217
3,3.6556982025
7,11.602598041
6,8.1152986367
5,8.5465955171
7,12.995297329
3,3.1565986806
11,13.074996364
10,5.6541984817
1,4.3549967415
0,6.3217976764
9,6.8486968924
0,0.74169623216
0,3.7563978809
3,8.6928968702
3,2.7622971804
6,0.71049604302
1,0.38599597281
5,0.76379828831
0,5.4498958406
1,8.1933992909
2,10.835497344
0,9.3519968117
4,4.9864988897
0,0.72639774446
8,0.4798955296
-1,7.5905967235
3,0.74979844406
7,5.4516968176
-2,4.9024979027
9,4.3704994899
3,6.0547987343
1,1.994397387
9,12.21629999
3,2.1673972368
-1,1.1390970689
7,0.15439641546
12,5.7653971205
3,3.9555983455
5,3.1722977236
4,3.5156979734
4,5.3321992578
2,2.471895923
-1,2.3695995036
7,0.26759947343
1,1.8332964822
2,7.1000970971
1,1.1147987202
5,7.916799546
5,1.3606994433
0,5.6449967435
4,1.2715991505
2,1.30659824
4,9.1058987676
5,1.5500973599
8,7.8767971536
5,10.374098628
4,8.1475983276
7,4.8550958879
7,15.911698768
5,4.3436987741
6,8.1382968704
5,4.0670968862
-1,3.1266997414
2,8.1113985212
3,1.6102978281
6,4.8270972506
2,6.3967975958
7,2.7470982113
2,10.272996136
10,7.8986963941
5,10.530598479
6,2.26529692
-1,12.54719889
4,7.7033972024
3,4.0156993066
-4,3.5309958232
1,0.72739612514
3,16.090399157
8,7.9587968852
-12,5.0546959952
14,0.54809702196
4,10.814099276
3,3.197998043
9,4.4315964351
10,0.24749975898
6,4.5415968224
6,10.059598851
4,1.7025990086
6,3.3159957964
6,4.6337974444
8,2.7871995662
8,5.4391998407
5,15.04879862
3,9.0691958943
2,4.7618955772
1,1.6759988259
1,0.62299920651
5,6.4812998991
3,1.7578957888
2,5.5562961376
1,2.1030977196
5,8.0204958989
-1,0.53319595826
5,6.6089994932
2,2.1354957036
5,1.9652957258
9,0.365998889
2,7.7839975117
7,9.8580992296
11,6.4599964927
4,7.2480982111
6,5.4337957683
1,8.0889989666
6,5.6814961587
6,2.8994973461
5,9.0913976158
23,8.6630998255
4,0.33569863989
11,8.8849983518
13,0.32079766723
6,3.6634993089
5,2.6292974158
2,5.1955970891
6,5.2079964212
3,3.9055996717
6,6.3861999212
2,4.8529990291
7,2.4755970691
-1,1.6195984333
7,10.170797763
2,15.638199413
7,9.4072960373
2,10.837497907
9,0.37939687341
6,11.055098593
7,6.3764968617
7,10.035798439
7,10.176699136
2,5.4689985084
6,12.878199985
9,5.324895799
5,8.7379969228
7,1.8269970407
6,3.1377998259
2,1.381196146
6,11.572595939
2,8.9030999465
0,2.3716959311
5,5.3046968698
-1,4.633796879
6,9.3658993538
4,5.6417955684
12,3.394999957
7,5.4115986137
6,2.6391982857
7,4.64499636
1,14.147596032
1,1.2353998739
5,5.5519956679
3,8.2970980523
4,8.0901978356
0,6.401896305
0,12.561095989
5,6.4833987565
-1,2.9233977456
4,7.4080963806
3,2.4340996189
3,2.8723964084
-7,8.5826995408
-3,9.0796987519
3,3.5761965101
7,7.9198970406
7,8.6829997971
8,1.4769959175
-36,0.31839760492
4,7.5357981769
6,1.4183957768
9,6.8890957788
0,11.040796519
5,9.9680989326
7,4.6625957679
1,13.857099266
7,4.6779984621
3,1.3027956457
5,5.8349982939
12,2.3109994425
1,4.3198972724
5,0.060395565623
11,1.6805955896
5,2.0818961983
2,4.8885985528
0,6.6667992706
6,1.0896979317
7,7.4714978866
6,0.85169800713
6,3.7109984049
0,0.49699827596
4,0.98119691742
6,3.796998208
6,3.5180991665
3,8.1134974717
2,8.2630989338
4,3.5903956061
5,0.28909656966
3,1.1236999447
2,2.2465956839
1,1.589197378
10,6.9432960392
-2,4.7386964161
1,0.061298669315
5,1.8013998297
7,7.4617995371
6,7.525297266
6,3.8586991009
-13,11.301499799
10,9.9086987719
5,2.7011962353
3,8.9866964829
6,3.078697288
2,2.3616987364
3,3.9357984186
6,6.7505998863
0,3.8267997979
-5,11.786599461
11,7.8460960572
1,1.0502983295
0,6.8942958457
4,7.6256984197
8,1.2807966819
6,9.5329987562
6,0.52289779043
4,2.3695971325
5,5.9951965767
7,11.575998269
7,6.0605964676
3,14.098696585
44,2.0488998529
5,0.99139692166
6,2.0691956534
6,0.22199814572
7,0.36609688226
8,4.9167969655
4,8.7444991019
4,6.011599219
1,6.123096635
7,8.1289968137
7,0.41349869748
5,1.1097959557
9,6.3921981691
6,12.443097583
7,6.3877977919
6,3.9735990544
12,2.4812982452
3,8.0456966889
3,0.80069557541
4,5.5885998092
3,7.8305971437
2,3.8581987347
-12,4.9768999344
2,8.2103984683
5,3.7205982608
5,7.9337981864
-1,8.7078966611
6,7.1246999677
10,8.5747960129
7,8.8806984681
6,4.5524977412
5,7.5096961447
4,3.9673997102
8,8.3804965257
-1,10.798197483
1,15.329698233
13,5.4555975487
-11,1.1874955452
-2,9.188296917
6,9.4781990141
2,10.520997423
3,10.329498075
2,4.1916980547
7,5.0384984155
0,4.4685977152
4,6.673498232
5,3.6043967296
3,7.6629979328
7,0.44659552492
5,4.8758974186
7,11.03539642
3,1.0550959596
6,4.8714980008
3,8.7157965269
6,3.1575982542
0,10.469297593
7,4.3305978525
4,0.8692996403
4,7.0473990822
-3,2.2675984035
3,10.009596812
7,7.2644986278
6,0.43209743296
6,7.8299996667
6,8.0188964546
8,1.8745969628
4,2.5286965368
-1,7.8539960491
8,5.2774973432
7,4.1290959416
9,2.8679995878
2,0.89809627616
2,6.790997981
5,6.3995996948
-4,2.1852986997
3,1.2789989466
5,0.25489818324
8,4.5657984652
4,4.4855959354
4,0.11219900703
15,0.079196973133
4,5.2529955993
5,1.3860980822
3,1.2801981989
3,9.9527981813
4,13.704897951
5,7.2203998717
12,2.2944999134
-8,3.3739970806
8,1.1044961313
5,14.167899806
8,11.201398834
5,7.4091961493
-1,3.008398696
8,8.6100994496
2,2.6233995948
11,3.6071983089
2,4.194997394
5,2.0433971604
7,2.1882985945
-1,1.0465975353
6,5.3292991723
5,9.5253965433
4,5.5654989721
15,2.3186986081
23,9.8850966116
3,3.9836974616
0,1.2870956498
1,4.1060974752
1,0.57089611084
5,4.8062956832
0,10.991296837
7,4.9264975643
7,4.7969990466
1,5.4970981108
-10,6.3407967179
4,8.4427960347
-1,2.0786989802
4,5.4701959956
4,6.8820996642
5,0.41579671201
4,8.8912982451
11,4.1570974693
3,1.2491957368
0,5.6374989611
-1,3.2254955423
4,3.5847989437
8,0.41769970151
7,5.0636964863
4,8.6656996002
8,11.506798054
4,0.26349602174
2,10.303795772
8,7.8235979896
-3,6.8102990363
5,2.1636968041
4,6.5133960278
6,9.1625969107
9,1.2889977291
1,7.0315994642
2,11.767299723
1,0.82969796381
-8,4.4321994811
3,1.7397978326
9,6.7655983598
4,4.588996832
4,8.6134979139
4,1.0555958813
2,3.5329966599
5,6.7967978937
0,2.4147977501
8,1.8190963655
7,2.5082964968
3,4.2291978538
10,14.992399799
-1,5.8329993727
9,7.7176990557
8,0.13049556621
6,2.0478989754
0,6.0668966386
2,10.136800001
2,9.2870984112
3,1.298895845
1,3.8261980838
5,5.0369960961
12,4.7993957546
4,5.4994993351
2,12.548298721
2,3.5375963479
3,5.724299987
8,7.3005967622
5,13.012395595
6,0.080896548368
2,4.2709959132
9,0.25489845851
2,11.883499339
5,7.4772973155
5,1.4077994882
3,3.2049996003
6,4.7289984419
8,4.3638991324
9,2.7521981112
8,7.8309975516
5,0.50809670935
4,12.417499184
6,5.3833967953
-4,5.0807992021
2,6.5773955295
4,9.8033964443
7,12.328196242
2,5.12149896
9,5.3056993899
8,8.5216987258
5,4.8583967492
5,3.1936974373
5,1.1903970794
5,8.4382986421
8,5.2954965251
9,1.8790963033
10,7.9837996681
10,2.7355964274
0,4.354095736
10,0.47839786741
4,4.2649990777
2,6.9676961235
0,10.624099243
0,0.55759563116
3,2.2308000158
2,1.731795563
4,4.771598934
2,3.9585988698
1,0.92089643853
4,3.6095965716
6,2.1936990205
3,5.0167958017
8,5.3392996905
0,5.047198351
6,5.6205966159
2,4.095997026
8,5.6814959145
6,3.7207973558
8,1.610399917
2,11.142899525
2,1.3493991218
6,3.4931973351
-14,3.9911963136
14,4.3408987239
1,5.1796957195
7,13.544295611
5,4.9320978399
8,2.1501980265
6,1.4603978458
0,1.0321972805
9,7.7911959131
5,11.324897111
0,0.96099596152
7,14.263397862
4,8.9018969976
5,3.7331995093
8,11.740696487
4,7.7693980186
1,12.403697756
11,3.4808968315
6,6.9241959229
9,15.657398014
4,7.6736992913
2,1.337597605
-1,9.0869979865
9,0.99489903107
4,5.9833975796
-2,0.13959900082
2,6.3323959967
4,0.67949956537
3,15.80739753
6,0.27319774802
9,3.7450992277
10,10.040697539
2,3.2428989769
6,5.1270975443
7,6.4201972185
6,13.618699462
6,10.686895726
6,3.3495999854
6,3.8556990946
8,3.8745996552
6,4.9348974253
11,3.0334972493
4,1.1052970794
4,5.6834962863
4,2.9902997968
8,6.4904969439
2,5.824497209
3,5.2380979665
4,0.48369860014
0,0.044097583633
4,5.969098892
4,3.5117980215
2,2.4339999842
2,7.775798639
46,0.94319629113
8,7.5665957777
3,12.05679619
2,7.0346980864
0,2.934596795
5,1.0612984405
7,1.9035996499
7,0.86609612267
2,12.015297573
2,6.4016956263
3,4.5401983273
3,6.4988964219
5,10.583797387
6,8.8752962298
0,7.1878975191
2,2.698895901
5,2.2416972466
9,4.9194994892
7,6.425099403
6,6.8261968698
5,7.6422987195
2,6.5663997531
6,10.925799743
3,4.4544955575
-2,5.6668998523
-3,1.7641983108
11,3.0504984248
8,11.464099138
10,3.1009989773
2,2.735098883
8,9.3653980197
9,7.1404989772
6,3.6438976565
7,3.3129957436
5,9.7776997539
6,9.9693994902
9,0.81339878289
8,8.5913977625
-4,0.56829824523
9,3.7246998008
-2,8.644499347
5,6.0208980492
14,6.1205973988
4,8.6226958604
